platform;direction;size;sentences;chrF;BLEU;bootstrap_win;COMET;BERTScore
android;en-pl;full;75390;62.49;38.83;0.000;0.8949;0.9059
android;en-pl;short;100;60.88;34.73;0.000;0.9069;0.8994
android;pl-en;full;78296;61.62;40.57;0.000;0.8709;0.9619
android;pl-en;short;100;62.62;42.50;0.000;0.8691;0.9627
ios;en-pl;full;75390;72.92;53.22;1.000;0.9506;0.9338
ios;en-pl;short;100;70.68;46.90;1.000;0.9573;0.9291
ios;pl-en;full;78296;73.22;60.38;1.000;0.9264;0.9781
ios;pl-en;short;100;74.36;59.77;1.000;0.9315;0.9772
